,SDS_CODE,SDS_KT,SDS_NR,SDS_NAME,BFS_CODE,COORD_X,COORD_Y,LAT,LONG,POPS2018,1022_sechs,1045_Donnstig,1054_1055_Rucken,1074_Kase,1095_Schnee,1105_Eis,1107_Mause,1160_Apfel,2027_Besen,2097_trinken,2147_folgen,3008_gelaufen,3056_gehen_1sg,4071_Schluckauf
413,TG6,TG,6,Homburg,4816,717900,277100,47.63396,9.00742,1543,c_e_geschl,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gang,c_higg
414,TG7,TG,7,Wigoltingen,4951,719700,273100,47.59766,9.03029,2457,c_e_geschl,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gange,c_higg
415,TG8,TG,8,Ermatingen,4646,723600,281300,47.67067,9.08441,3455,c_e_geschl,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gang,c_higg
416,TG9,TG,9,Weinfelden,4946,725700,269800,47.56687,9.10911,11534,c_è_neutr,c_o,c_u,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gang,c_higg
417,TG10,TG,10,Neuwilen,4666,728400,276500,47.62659,9.14692,2545,c_e_geschl,c_o,c_u,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg,c_l,c_gloffe,c_gang,c_higg
418,TG11,TG,11,Birwinken,4901,732300,271600,47.58176,9.19733,1320,c_e_geschl,c_o,c_u,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg,c_l,c_glaufe / c_gloffe,c_gang,c_higg
419,TG12,TG,12,Bottighofen,4643,732800,278000,47.6392,9.20589,2226,c_e_geschl,c_o,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_ngg,c_l,c_gloffe,c_gang,c_glugg
420,TG13,TG,13,Kesswil,4426,741300,273100,47.59337,9.3174,992,c_e_geschl,c_o,c_u,c_ä_übof,c_e_geschl,c_ii,c_üü,c_ö,c_kurz / c_halblang,c_ngg,c_l,c_gloffe,c_goo,c_higg
421,TG14,TG,14,Gachnang,4571,706500,266200,47.53789,8.85315,4364,c_è_neutr,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_goo,c_higg
422,TG15,TG,15,Frauenfeld,4566,709600,268400,47.55716,8.89486,25611,c_è_neutr,c_u,c_u,c_e_geschl / c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_glaufe / c_gloffe,c_goo,c_higg
